singer_name,photo_url,singer_styles,date,n_songs
Mulher Melancia,https://www.vagalume.com.br/mulher-melancia/images/mulher-melancia.jpg,"['Funk Carioca', 'Electronica', 'Dance']",2008-05-01,11
Mc Keke,https://www.vagalume.com.br/mc-keke/images/mc-keke.jpg,"['Funk Carioca', 'Funk', 'Pagode']",2008-05-01,11
Mc Godô,https://www.vagalume.com.br/mc-godo/images/mc-godo.jpg,"['Funk Carioca', 'Funk', 'Axé']",2008-05-01,11
Valesca Popozuda,https://www.vagalume.com.br/valesca-popozuda/images/valesca-popozuda.jpg,"['Funk Carioca', 'Funk', 'Pop']",2014-01-01,11
Formiga DJ,https://www.vagalume.com.br/formiga-dj/images/formiga-dj.jpg,"['Funk Carioca', 'Electronica', 'Rap']",2014-12-01,10
Mc Lany,https://www.vagalume.com.br/mc-lany/images/mc-lany.jpg,"['Funk Carioca', 'Funk', 'Pagode']",2008-02-01,10
Mc Yuri BH,https://www.vagalume.com.br/mc-yuri-bh/images/mc-yuri-bh.jpg,"['Funk Carioca', 'Funk', 'Hip Hop']",2009-08-01,10
Mc Dodô,https://www.vagalume.com.br/mc-dodo/images/mc-dodo.jpg,"['Funk Carioca', 'Rap', 'Electronica']",2007-11-01,10
Mc Nobruh,https://www.vagalume.com.br/mc-nobruh-equipamento-da-oakley-2/images/mc-nobruh-equipamento-da-oakley-2.jpg,"['Funk Carioca', 'Funk', 'Romântico']",2010-06-01,10
Bonde Dos Perversos,https://www.vagalume.com.br/bonde-dos-perversos/images/bonde-dos-perversos.jpg,['Funk Carioca'],2006-08-01,10
Mc Suzy,https://www.vagalume.com.br/mc-suzy/images/mc-suzy.jpg,"['Funk Carioca', 'Axé', 'Pagode']",2008-06-01,10
Deize Tigrona,https://www.vagalume.com.br/deize-tigrona/images/deize-tigrona.jpg,['Funk Carioca'],2005-12-01,9
"Mc Arthur, o Sheik",https://www.vagalume.com.br/mc-arthur-o-sheik/images/mc-arthur-o-sheik.jpg,['Funk Carioca'],2015-11-01,9
Mc BNN,https://www.vagalume.com.br/mc-bnn/images/mc-bnn.jpg,['Funk Carioca'],2018-02-01,9
Mc Zoi de Gato,https://www.vagalume.com.br/mc-zoi-de-gato/images/mc-zoi-de-gato.jpg,"['Funk Carioca', 'Pagode', 'Hip Hop']",2008-12-01,9
Mc Copinho,https://www.vagalume.com.br/mc-copinho/images/mc-copinho.jpg,"['Funk Carioca', 'Clássico', 'Rap']",2008-04-01,9
Mc Hudson 22,https://www.vagalume.com.br/mc-hudson-22/images/mc-hudson-22.jpg,"['Funk Carioca', 'Axé', 'Funk']",2011-04-01,9
MC Rihanna da Baixada,https://www.vagalume.com.br/mc-rihanna-da-baixada/images/mc-rihanna-da-baixada.jpg,"['Pop', 'Funk Carioca', 'Pop/Punk']",2015-10-01,9
Justiceiras do Funk,https://www.vagalume.com.br/justiceiras-do-funk/images/justiceiras-do-funk.jpg,['Funk Carioca'],2012-02-01,9
Mc Vine,https://www.vagalume.com.br/mc-vine/images/mc-vine.jpg,"['Funk Carioca', 'Rap', 'Funk']",2008-08-01,9
Os Bad Boys (Funk),https://www.vagalume.com.br/os-bad-boys-funk/images/os-bad-boys-funk.jpg,['Funk Carioca'],2014-11-01,9
Verônica Costa,https://www.vagalume.com.br/veronica-costa/images/veronica-costa.jpg,['Funk Carioca'],2005-02-01,8
Mc Robinho de Prata,https://www.vagalume.com.br/mc-robinho-de-prata/images/mc-robinho-de-prata.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2007-03-01,8
Negão do Arizona,https://www.vagalume.com.br/negao-do-arizona/images/negao-do-arizona.jpg,['Funk Carioca'],2017-02-01,8
Gepê MC,https://www.vagalume.com.br/gepe-mc/images/gepe-mc.jpg,['Funk Carioca'],2013-06-01,8
Chiquinho e Amaral,https://www.vagalume.com.br/chiquinho-e-amaral/images/chiquinho-e-amaral.jpg,"['Funk Carioca', 'Funk']",2008-09-01,8
MC's Vinicius e Andinho,https://www.vagalume.com.br/vinicius-e-andinho/images/vinicius-e-andinho.jpg,"['Funk Carioca', 'Romântico', 'Funk']",2004-07-01,8
Mc Bolado do Recife,https://www.vagalume.com.br/mc-bolado-do-recife/images/mc-bolado-do-recife.jpg,['Funk Carioca'],2018-05-01,8
McViktor,https://www.vagalume.com.br/mcviktor/images/mcviktor.jpg,['Funk Carioca'],2014-10-01,8
MC Japa e MC Japinha,https://www.vagalume.com.br/mc-japa-e-mc-japinha/images/mc-japa-e-mc-japinha.jpg,['Funk Carioca'],2017-11-01,7
Mc Joãozinho VT,https://www.vagalume.com.br/mc-joaozinho-vt/images/mc-joaozinho-vt.jpg,['Funk Carioca'],2009-03-01,7
Mc Jenny,https://www.vagalume.com.br/mc-jenny/images/mc-jenny.jpg,"['Funk Carioca', 'Axé', 'Punk Rock']",2009-04-01,7
Sharon (Axé Moi),https://www.vagalume.com.br/sharon-axe-moi/images/sharon-axe-moi.jpg,"['Funk Carioca', 'Axé', 'Funk']",2008-04-01,7
Os Polêmicos,https://www.vagalume.com.br/grupo-os-polemicos/images/grupo-os-polemicos.jpg,"['Funk Carioca', 'Funk']",2013-01-01,7
Jhowzinho e Kadinho,https://www.vagalume.com.br/jhowzinho-e-kadinho/images/jhowzinho-e-kadinho.jpg,['Funk Carioca'],2017-09-01,7
Mc Rael,https://www.vagalume.com.br/mc-rael/images/mc-rael.jpg,"['Funk Carioca', 'Rap', 'Rock']",2008-03-01,7
Mc's Samuka e Nego,https://www.vagalume.com.br/mcs-samuka-e-nego/images/mcs-samuka-e-nego.jpg,"['Funk Carioca', 'Funk', 'Dance']",2012-02-01,7
Rafael Vidalles,https://www.vagalume.com.br/rafael-vidalles/images/rafael-vidalles.jpg,"['Pop', 'Funk Carioca']",2017-03-01,7
Os Cretinos,https://www.vagalume.com.br/os-cretinos/images/os-cretinos.jpg,['Funk Carioca'],2008-11-01,6
Mulher Melão,https://www.vagalume.com.br/mc-frank-e-mulher-melao/images/mc-frank-e-mulher-melao.jpg,"['Funk Carioca', 'Dance', 'Funk']",2008-07-01,6
Renatinho e Alemão,https://www.vagalume.com.br/renatinho-e-alemao/images/renatinho-e-alemao.jpg,"['Funk Carioca', 'Rap', 'Hip Hop']",2006-05-01,6
MC Delley,https://www.vagalume.com.br/mc-delley/images/mc-delley.jpg,['Funk Carioca'],2015-06-01,6
MC J15,https://www.vagalume.com.br/mc-j15/images/mc-j15.jpg,"['Funk Carioca', 'Funk']",2014-10-01,6
Mc Vitêra,https://www.vagalume.com.br/mc-vitera/images/mc-vitera.jpg,"['Dance', 'Funk Carioca']",2017-10-01,6
Mc Mágico,https://www.vagalume.com.br/mc-magico/images/mc-magico.jpg,"['Funk Carioca', 'Pagode', 'Hip Hop']",2008-10-01,6
Mc Dodo 013,https://www.vagalume.com.br/mc-dodo-013/images/mc-dodo-013.jpg,"['Gospel/Religioso', 'Funk Carioca']",2015-02-01,6
Mc Princesa e Plebeu,https://www.vagalume.com.br/mc-princesa-e-plebeu/images/mc-princesa-e-plebeu.jpg,"['Funk Carioca', 'Funk', 'Axé']",2006-06-01,6
Backdi e Bio G3,https://www.vagalume.com.br/backdi-e-bio-g3/images/backdi-e-bio-g3.jpg,"['Funk Carioca', 'Funk', 'MPB']",2009-06-01,5
Mc Bruninho,https://www.vagalume.com.br/mc-bruninho/images/mc-bruninho.jpg,['Funk Carioca'],2007-11-01,5
Mc Coringa,https://www.vagalume.com.br/mc-coringa/images/mc-coringa.jpg,['Funk Carioca'],2008-03-01,5
MC Biro Leyby,https://www.vagalume.com.br/mc-biruleibe/images/mc-biruleibe.jpg,"['Funk Carioca', 'Funk']",2006-04-01,5
Bonde Das Gramadas,https://www.vagalume.com.br/bonde-das-gramadas/images/bonde-das-gramadas.jpg,"['Funk Carioca', 'Forró']",2008-06-01,5
Leo Sannttos,https://www.vagalume.com.br/leo-sannttos/images/leo-sannttos.jpg,['Funk Carioca'],2014-07-01,5
Lenny B,https://www.vagalume.com.br/lenny-b/images/lenny-b.jpg,"['House', 'Funk Carioca', 'Pop']",2012-02-01,5
Mc Mallone,https://www.vagalume.com.br/mc-mallone/images/mc-mallone.jpg,['Funk Carioca'],2015-12-01,5
MC Pé de Pano,https://www.vagalume.com.br/mc-pe-de-pano/images/mc-pe-de-pano.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2006-02-01,5
Mc Felype,https://www.vagalume.com.br/mc-felype/images/mc-felype.jpg,"['Funk Carioca', 'Pop/Punk']",2014-10-01,5
Mc Patoroko,https://www.vagalume.com.br/mc-patoroko/images/mc-patoroko.jpg,['Funk Carioca'],2014-02-01,5
Mc God,https://www.vagalume.com.br/mc-god/images/mc-god.jpg,"['Funk Carioca', 'Hip Hop']",2016-11-01,5
MC JG,https://www.vagalume.com.br/mc-jg/images/mc-jg.jpg,['Funk Carioca'],2017-04-01,4
Raphaella,https://www.vagalume.com.br/raphaella/images/raphaella.jpg,"['Funk Carioca', 'Rap', 'Pop']",2016-02-01,4
Mc Patrick MF,https://www.vagalume.com.br/mc-patrick-mf/images/mc-patrick-mf.jpg,"['Funk Carioca', 'Rap', 'Hip Hop']",2016-06-01,4
Mc Menor,https://www.vagalume.com.br/mc-menor/images/mc-menor.jpg,"['Funk Carioca', 'Rap', 'Axé']",2008-12-01,4
Mc Ombrinho,https://www.vagalume.com.br/mc-ombrinho/images/mc-ombrinho.jpg,"['Funk Carioca', 'Electronica', 'Axé']",2007-11-01,4
MC Eller,https://www.vagalume.com.br/mc-eller/images/mc-eller.jpg,['Funk Carioca'],2016-06-01,4
Buchecha & Sabrina,https://www.vagalume.com.br/buchecha-sabrina/images/buchecha-sabrina.jpg,"['Funk Carioca', 'Funk', 'Romântico']",2006-02-01,4
Jherry,https://www.vagalume.com.br/jherry/images/jherry.jpg,"['Funk Carioca', 'Dance', 'Pop']",2016-09-01,4
MC Biel #NPF,https://www.vagalume.com.br/mc-biel-npf/images/mc-biel-npf.jpg,['Funk Carioca'],2013-10-01,4
Mc Angelo,https://www.vagalume.com.br/mc-angelo/images/mc-angelo.jpg,['Funk Carioca'],2015-04-01,4
Allycia,https://www.vagalume.com.br/allycia/images/allycia.jpg,"['Pop', 'Funk Carioca']",2015-12-01,4
MC Leléto,https://www.vagalume.com.br/mc-leleto/images/mc-leleto.jpg,['Funk Carioca'],2017-05-01,4
MC Vareta,https://www.vagalume.com.br/mc-vareta/images/mc-vareta.jpg,"['Funk Carioca', 'Dance']",2014-11-01,4
MC Vitinho (2),https://www.vagalume.com.br/mc-vitinho-2/images/mc-vitinho-2.jpg,['Funk Carioca'],2018-02-01,4
Mc Wendy,https://www.vagalume.com.br/mc-wendy/images/mc-wendy.jpg,['Funk Carioca'],2013-02-01,3
Mc Pack Original,https://www.vagalume.com.br/mc-pack-original/images/mc-pack-original.jpg,['Funk Carioca'],2016-12-01,3
Diogo Martins,https://www.vagalume.com.br/diogo-martins/images/diogo-martins.jpg,"['Funk Carioca', 'MPB', 'Pop']",2016-01-01,3
Gugah,https://www.vagalume.com.br/gugah/images/gugah.jpg,"['Rap', 'Funk Carioca']",2017-12-01,3
Vine Rodry,https://www.vagalume.com.br/vine-rodry/images/vine-rodry.jpg,"['Electronica', 'Funk Carioca', 'Pop']",2017-03-01,3
Mc Bahea,https://www.vagalume.com.br/mc-bahea/images/mc-bahea.jpg,['Funk Carioca'],2016-07-01,3
Mc Renan,https://www.vagalume.com.br/mc-renan/images/mc-renan.jpg,"['Funk Carioca', 'Funk']",2012-01-01,3
MC Serginho da VS,https://www.vagalume.com.br/mc-serginho-da-vs/images/mc-serginho-da-vs.jpg,['Funk Carioca'],2017-08-01,3
MC Bocarra,https://www.vagalume.com.br/mc-bocarra/images/mc-bocarra.jpg,['Funk Carioca'],2015-04-01,3
Mc Tavinho JBK,https://www.vagalume.com.br/mc-tavinho-jbk/images/mc-tavinho-jbk.jpg,['Funk Carioca'],2016-06-01,3
Mc Jennifer,https://www.vagalume.com.br/mc-jennifer/images/mc-jennifer.jpg,"['Funk Carioca', 'Funk']",2009-05-01,3
Mc Tartaruga,https://www.vagalume.com.br/mc-tartaruga/images/mc-tartaruga.jpg,"['Funk Carioca', 'Funk', 'Rap']",2007-10-01,3
FASE4,https://www.vagalume.com.br/fase4/images/fase4.jpg,"['Pop', 'Funk Carioca', 'Black Music']",2014-09-01,2
Mc Etiopia,https://www.vagalume.com.br/mc-etiopia/images/mc-etiopia.jpg,['Funk Carioca'],2017-01-01,2
MC Veni,https://www.vagalume.com.br/mc-veni/images/mc-veni.jpg,['Funk Carioca'],2019-01-01,2
Nanda Lynn,https://www.vagalume.com.br/nanda-lynn/images/nanda-lynn.jpg,"['Pop', 'Funk Carioca']",2014-11-01,2
Mc Gringo,https://www.vagalume.com.br/mc-gringo/images/mc-gringo.jpg,"['Funk Carioca', 'Funk']",2006-03-01,2
Mc Pingo,https://www.vagalume.com.br/mc-pingo/images/mc-pingo.jpg,['Funk Carioca'],2007-10-01,2
Emici Pegada,https://www.vagalume.com.br/emici-pegada/images/emici-pegada.jpg,"['Rap', 'Funk Carioca']",2014-12-01,2
MC Lone,https://www.vagalume.com.br/mc-lone/images/mc-lone.jpg,['Funk Carioca'],2017-02-01,2
MC Falcão,https://www.vagalume.com.br/mc-falcao/images/mc-falcao.jpg,['Funk Carioca'],2014-12-01,2
MC Rojai,https://www.vagalume.com.br/mc-rojai/images/mc-rojai.jpg,['Funk Carioca'],2017-09-01,2
MC Ronny Khalifa,https://www.vagalume.com.br/mc-ronny-khalifa/images/mc-ronny-khalifa.jpg,['Funk Carioca'],2014-12-01,2
Arquiteto do Amor,https://www.vagalume.com.br/arquiteto-do-amor/images/arquiteto-do-amor.jpg,['Funk Carioca'],2016-08-01,2
Mc Uchoa,https://www.vagalume.com.br/mc-uchoa/images/mc-uchoa.jpg,['Funk Carioca'],2014-12-01,2
Mc Tobias,https://www.vagalume.com.br/mc-tobias/images/mc-tobias.jpg,['Funk Carioca'],2015-02-01,2
Antunes,https://www.vagalume.com.br/antunes/images/antunes.jpg,"['Funk Carioca', 'Pop', 'R&B']",2016-08-01,2
Mc Douglinhas,https://www.vagalume.com.br/mc-douglinhas/images/mc-douglinhas.jpg,['Funk Carioca'],2014-10-01,2
Mc Dadinho e Diguinho,https://www.vagalume.com.br/mc-dadinho-e-diguinho/images/mc-dadinho-e-diguinho.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2009-08-01,2
MC Belzinho,https://www.vagalume.com.br/mc-belzinho/images/mc-belzinho.jpg,"['Rap', 'Funk Carioca']",2017-11-01,2
Mc Coringa Louco,https://www.vagalume.com.br/mc-coringa-louco/images/mc-coringa-louco.jpg,"['Hardcore', 'Funk Carioca', 'Rap']",2014-10-01,2
Lucca Venuci,https://www.vagalume.com.br/lucca-venuci/images/lucca-venuci.jpg,"['Funk Carioca', 'Funk']",2014-12-01,2
Lippe,https://www.vagalume.com.br/lippe/images/lippe.jpg,"['Funk Carioca', 'Pop']",2017-09-01,2
MC Menorzinho da DG,https://www.vagalume.com.br/mc-menorzinho-da-dg/images/mc-menorzinho-da-dg.jpg,['Funk Carioca'],2015-02-01,2
MC Mineiro,https://www.vagalume.com.br/mc-mineiro/images/mc-mineiro.jpg,"['Pop', 'Funk Carioca']",2018-05-01,2
MC Lukaz,https://www.vagalume.com.br/mc-lukaz/images/mc-lukaz.jpg,"['Rap', 'Funk Carioca']",2017-11-01,2
MC William-SP,https://www.vagalume.com.br/mc-william-sp/images/mc-william-sp.jpg,['Funk Carioca'],2014-06-01,2
3zi,https://www.vagalume.com.br/3zi/images/3zi.jpg,"['Funk Carioca', 'Pagode', 'Hip Hop']",2015-04-01,2
Mc Jadson Boladão,https://www.vagalume.com.br/mc-jadson-boladao/images/mc-jadson-boladao.jpg,['Funk Carioca'],2016-12-01,1
Mc Islaibe,https://www.vagalume.com.br/mc-islaibe/images/mc-islaibe.jpg,['Funk Carioca'],2018-01-01,1
Mc Lexx,https://www.vagalume.com.br/mc-lexx/images/mc-lexx.jpg,"['Funk Carioca', 'Rap']",2016-10-01,1
Pablo Renato,https://www.vagalume.com.br/pablo-renato/images/pablo-renato.jpg,"['Funk Carioca', 'Gospel/Religioso']",2014-10-01,1
RafaLu Mc's,https://www.vagalume.com.br/rafalu-mcs/images/rafalu-mcs.jpg,['Funk Carioca'],2018-06-01,1
Mc Illana,https://www.vagalume.com.br/mc-illana/images/mc-illana.jpg,"['Funk Carioca', 'Pop']",2016-08-01,1
Androw,https://www.vagalume.com.br/androw/images/androw.jpg,['Funk Carioca'],2008-12-01,1
Mc Karyne da Provi,https://www.vagalume.com.br/mc-karyne-da-provi/images/mc-karyne-da-provi.jpg,['Funk Carioca'],2017-10-01,1
Mc John Marquês,https://www.vagalume.com.br/mc-john-marques/images/mc-john-marques.jpg,['Funk Carioca'],2016-06-01,1
Caroline Miranda,https://www.vagalume.com.br/caroline-miranda/images/caroline-miranda.jpg,"['Funk Carioca', 'Funk', 'Pop']",2008-06-01,1
MC TL,https://www.vagalume.com.br/mc-tl/images/mc-tl.jpg,['Funk Carioca'],2017-04-01,1
Mc Gaah e Mc BP,https://www.vagalume.com.br/mc-gaah-e-mc-bp/images/mc-gaah-e-mc-bp.jpg,['Funk Carioca'],2014-12-01,1
DJ Cris,https://www.vagalume.com.br/dj-cris/images/dj-cris.jpg,['Funk Carioca'],2014-10-01,1
MC Sabãozinho,https://www.vagalume.com.br/mc-sabaozinho/images/mc-sabaozinho.jpg,"['Funk Carioca', 'Funk', 'Axé']",2008-02-01,1
Mc Tom,https://www.vagalume.com.br/mc-tom/images/mc-tom.jpg,['Funk Carioca'],2008-07-01,1
MC PikenaSK,https://www.vagalume.com.br/mc-pikenask/images/mc-pikenask.jpg,['Funk Carioca'],2016-05-01,1
MC MegaRik,https://www.vagalume.com.br/mc-megarik/images/mc-megarik.jpg,['Funk Carioca'],2014-10-01,1
Mc Ale Soares,https://www.vagalume.com.br/mc-ale-soares/images/mc-ale-soares.jpg,"['Funk Carioca', 'Blues']",2016-12-01,1
Mc Zedek,https://www.vagalume.com.br/mc-zedek/images/mc-zedek.jpg,['Funk Carioca'],2017-02-01,1
Mc kill,https://www.vagalume.com.br/mc-kill/images/mc-kill.jpg,['Funk Carioca'],2014-10-01,1
MC Guga da VG,https://www.vagalume.com.br/mc-guga-da-vg/images/mc-guga-da-vg.jpg,"['Funk Carioca', 'Hip Hop', 'Rap']",2014-11-01,1
Mc Sluck,https://www.vagalume.com.br/mc-sluck/images/mc-sluck.jpg,"['Hip Hop', 'Funk Carioca']",2017-03-01,1
Mc Rubby,https://www.vagalume.com.br/mc-rubby/images/mc-rubby.jpg,['Funk Carioca'],2015-02-01,1
Michel Grasiani,https://www.vagalume.com.br/michel-grasiani/images/michel-grasiani.jpg,"['Pop', 'Funk Carioca']",2014-11-01,1
Lady Fortunato,https://www.vagalume.com.br/lady-fortunato/images/lady-fortunato.jpg,['Funk Carioca'],2008-07-01,1
Karinna Spencer,https://www.vagalume.com.br/karinna-spencer/images/karinna-spencer.jpg,['Funk Carioca'],2014-10-01,1
Mc Dan,https://www.vagalume.com.br/mc-dan/images/mc-dan.jpg,['Funk Carioca'],2018-06-01,1
Mc Fabin da VL,https://www.vagalume.com.br/mc-fabin-da-vl/images/mc-fabin-da-vl.jpg,['Funk Carioca'],2016-01-01,1
Fábio Sina,https://www.vagalume.com.br/fabio-sina/images/fabio-sina.jpg,"['R&B', 'Funk Carioca', 'Pop']",2017-11-01,1
Nathy Souto,https://www.vagalume.com.br/nathy-souto/images/nathy-souto.jpg,['Funk Carioca'],2017-10-01,1
Nina Joory,https://www.vagalume.com.br/nina-joory/images/nina-joory.jpg,"['Funk Carioca', 'Dance', 'Pop']",2017-10-01,1
DJ San e Dieguinho G,https://www.vagalume.com.br/dj-san-e-dieguinho-g/images/dj-san-e-dieguinho-g.jpg,['Funk Carioca'],2016-10-01,1
Mike,https://www.vagalume.com.br/mike/images/mike.jpg,"['Funk Carioca', 'Rap', 'Pop']",2016-09-01,1
